Lead ID,Business Name,Category,City,Phone,Email,Address,Website,Website Status,Lead Score,Lead Tier,Qualification Reason,Demo URL,Demo Status,Email Message,WhatsApp Message,Approval Status,Email Status,WhatsApp Status,First Contacted At,Last Contacted At,Status,Source,Created At,Updated At,Error
c28a3aad66743c37,Retro Bistro : The Fine Multi Cuisine Restaurant ( Vadodara ),Fine dining restaurant,Vadodara,+91 89800 88877,,"SF-204, The Emerald, Race Course Rd, near Chakli Circle, Paris Nagar, Diwalipura, Vadodara, Gujarat 390007, India",http://www.retrobistro.in/,VALID_WEBSITE,40,LOW,"Valid Website (+0), Has Phone (+15), Target Category 'Fine dining restaurant' (+10), Rating 4.3⭐ w/ 3109 reviews (+15)",,,,,APPROVED,NOT_SENT,NOT_SENT,,,APPROVED,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ40A0V6PIXzkR1MziRFGtiX8,2026-08-20T15:11:35.079822+00:00,2026-08-21T02:26:49.192376+00:00,
e0a34d5c7b37b7af,Spice Kraft Restaurant,North Indian restaurant,Vadodara,+91 90993 63116,,"FF 106, 107, 108, Golden Icon, Chakli Cir, opposite BSNL Offices & BroadBand Customer Service, Chikuwadi, Haripura, Vadodara, Gujarat 390007, India",https://www.spicekraftva.com/?srsltid=AfmBOooMN75NDPxv7U3Gc6rSLGLdEqgJR_D5dhWMrazgHyi-XNmLkoje,VALID_WEBSITE,40,LOW,"Valid Website (+0), Has Phone (+15), Target Category 'North Indian restaurant' (+10), Rating 4.2⭐ w/ 875 reviews (+15)",,,,,APPROVED,NOT_SENT,NOT_SENT,,,APPROVED,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJXRQu9srJXzkRWJcuuLNrqYw,2026-08-20T15:11:34.837354+00:00,2026-08-21T02:27:04.155453+00:00,
bd79265bc11a2076,Le Prive World Cuisine,Fine dining restaurant,Vadodara,+91 88888 56568,,"First Floor, 17/B, opposite Reliance Fresh, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007, India",https://www.district.in/dining/vadodara/le-priv%C3%A9-alkapuri?srsltid=AfmBOooyJd6oAoQ7c1IdZW3-tARIDlMQ8Y_PArI3Pe9l1a1QkPzBbqTW,VALID_WEBSITE,40,LOW,"Valid Website (+0), Has Phone (+15), Target Category 'Fine dining restaurant' (+10), Rating 4.5⭐ w/ 2703 reviews (+15)",,,,,PENDING,NOT_SENT,NOT_SENT,,,VERIFIED,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJdyWSXLfIXzkRVM4xqIYnm10,2026-08-20T15:11:34.571420+00:00,2026-08-20T15:12:03.315366+00:00,
7e4a9eebc8aa118e,The Secret Kitchen,Modern Indian restaurant,Vadodara,+91 98257 78778,,"2nd Floor The Emrald Complex No.201-203 Race Course Road, Near, Chakli Cir, Vadodara, Gujarat 390007, India",https://www.thesecretkitchen.co/,,85,HOT,,,,"Subject: Website concept for The Secret Kitchen

Hi The Secret Kitchen team,

I came across The Secret Kitchen in Vadodara. Upgrading your web experience can help turn online searches into loyal customers.

Here is a quick concept preview: {DEMO_URL}

Would you be free for a 2-minute chat this week?

Best regards,
Abhishek",Hi The Secret Kitchen team! Following up on the website preview I shared earlier (None). Did you get a chance to take a look? Would love to answer any quick questions!,PENDING_APPROVAL,NOT_SENT,NOT_SENT,,,PENDING_APPROVAL,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJaVqpUKPIXzkRkBSUFL0StCw,2026-08-20T11:56:59.516753+00:00,2026-08-20T15:11:36.953362+00:00,
0ca595bef939d3e5,812 CE Urban Restaurant,Restaurant,Vadodara,+91 63589 23528,,"Block B, Courtyard By Marriott, Sarabhai Campus, Alembic Rd, near Genda Circle, Subhanpura, Vadodara, Gujarat 390023, India",https://www.marriott.com/en-us/hotels/bdqcc-courtyard-vadodara/dining/,,85,HOT,,http://localhost:8000/preview/812-ce-urban-restaurant-vadodara,READY,"Subject: Website concept for 812 CE Urban Restaurant

Hi 812 CE Urban Restaurant team,

I came across 812 CE Urban Restaurant in Vadodara. Upgrading your web experience can help turn online searches into loyal customers.

Here is a quick concept preview: http://localhost:8000/preview/812-ce-urban-restaurant-vadodara

Would you be free for a 2-minute chat this week?

Best regards,
Abhishek",Hi 812 CE Urban Restaurant team! Following up on the website preview I shared earlier (http://localhost:8000/preview/812-ce-urban-restaurant-vadodara). Did you get a chance to take a look? Would love to answer any quick questions!,PENDING_APPROVAL,NOT_SENT,NOT_SENT,,,PENDING_APPROVAL,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJbyB62aHJXzkRYh9gI4-E3-M,2026-08-20T11:56:59.476477+00:00,2026-08-20T15:11:37.462691+00:00,
e16b2d756d34adcf,"Taste Carnival - (Banquet, Rooms, Restaurant)",Indian restaurant,Vadodara,+91 73835 30110,,"linde engg, Taste Carnival, besides oppsite HP petrol pump, Vasna Bhayli Main Rd, near Nilamber Circle, Vadodara, Gujarat 390007, India",,,65,WARM,,http://localhost:8000/preview/taste-carnival-banquet-rooms-restaurant-vadodara,READY,"Subject: Website concept for Taste Carnival - (Banquet, Rooms, Restaurant)

Hi Taste Carnival - (Banquet, Rooms, Restaurant) team,

I came across Taste Carnival - (Banquet, Rooms, Restaurant) in Vadodara. Upgrading your web experience can help turn online searches into loyal customers.

Here is a quick concept preview: http://localhost:8000/preview/taste-carnival-banquet-rooms-restaurant-vadodara

Would you be free for a 2-minute chat this week?

Best regards,
Abhishek","Hi Taste Carnival - (Banquet, Rooms, Restaurant) team! Following up on the website preview I shared earlier (http://localhost:8000/preview/taste-carnival-banquet-rooms-restaurant-vadodara). Did you get a chance to take a look? Would love to answer any quick questions!",PENDING_APPROVAL,NOT_SENT,NOT_SENT,,,PENDING_APPROVAL,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ51-DfwDJXzkRbwZMc45X_u0,2026-08-20T11:56:58.777113+00:00,2026-08-20T15:11:37.709724+00:00,
f4e41a0abb19c94a,The Morsel Restaurant,North Indian restaurant,Vadodara,+91 75750 77957,,"1st Floor, 105, The Emerald, Near Chakli Circle, Race Course Rd, Vadodara, Gujarat 390007, India",http://www.themorsel.in/,,85,HOT,,http://localhost:8000/preview/the-morsel-restaurant-vadodara,READY,"Subject: Website concept for The Morsel Restaurant

Hi The Morsel Restaurant team,

I came across The Morsel Restaurant in Vadodara. Upgrading your web experience can help turn online searches into loyal customers.

Here is a quick concept preview: http://localhost:8000/preview/the-morsel-restaurant-vadodara

Would you be free for a 2-minute chat this week?

Best regards,
Abhishek",Hi The Morsel Restaurant team! Following up on the website preview I shared earlier (http://localhost:8000/preview/the-morsel-restaurant-vadodara). Did you get a chance to take a look? Would love to answer any quick questions!,PENDING_APPROVAL,NOT_SENT,NOT_SENT,,,PENDING_APPROVAL,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJR0ZyprnIXzkRGNaSBrZ8oV8,2026-08-20T11:56:57.868256+00:00,2026-08-20T15:11:37.893380+00:00,
8cf133b9b979b650,Peshawri by Welcomhotel Vadodara,Mughlai restaurant,Vadodara,+91 265 667 7045,,"Welcomhotel by ITC Hotels, RC Dutt Rd, Alkapuri, Vadodara, Gujarat 390007, India",https://www.itchotels.in/hotels/vadodara/welcomhotelvadodara/dining/peshawri.html?utm_source=google&utm_medium=local-result&utm_term=peshawri&utm_campaign=listing,,85,HOT,,http://localhost:8000/preview/peshawri-by-welcomhotel-vadodara-vadodara,READY,"Subject: Website concept for Peshawri by Welcomhotel Vadodara

Hi Peshawri by Welcomhotel Vadodara team,

I came across Peshawri by Welcomhotel Vadodara in Vadodara. Upgrading your web experience can help turn online searches into loyal customers.

Here is a quick concept preview: http://localhost:8000/preview/peshawri-by-welcomhotel-vadodara-vadodara

Would you be free for a 2-minute chat this week?

Best regards,
Abhishek",Hi Peshawri by Welcomhotel Vadodara team! Following up on the website preview I shared earlier (http://localhost:8000/preview/peshawri-by-welcomhotel-vadodara-vadodara). Did you get a chance to take a look? Would love to answer any quick questions!,PENDING_APPROVAL,NOT_SENT,NOT_SENT,,,PENDING_APPROVAL,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJzRzER7DIXzkRXL7GcTtUeac,2026-08-20T11:56:57.306776+00:00,2026-08-20T15:11:38.091156+00:00,
eb8e2ccce04c54f7,Bangalore Dental & General Polyclinic,Dental clinic,Benglore,+91 98211 44764,,"Plot No. 221 RHB Colony, opposite ganesha temple, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048, India",https://www.practo.com/bangalore/clinic/bangalore-dental-general-polyclinic-rhb-colony,VALID_WEBSITE,40,LOW,"Valid Website (+0), Has Phone (+15), Target Category 'Dental clinic' (+10), Rating 4.9⭐ w/ 1210 reviews (+15)",http://localhost:8000/preview/bangalore-dental-general-polyclinic-benglore,READY,"Subject: Website concept for Bangalore Dental & General Polyclinic

Hi Bangalore Dental & General Polyclinic team,

I came across Bangalore Dental & General Polyclinic in Benglore. Upgrading your web experience can help turn online searches into loyal customers.

Here is a quick concept preview: http://localhost:8000/preview/bangalore-dental-general-polyclinic-benglore

Would you be free for a 2-minute chat this week?

Best regards,
Abhishek",Hi Bangalore Dental & General Polyclinic team! Following up on the website preview I shared earlier (http://localhost:8000/preview/bangalore-dental-general-polyclinic-benglore). Did you get a chance to take a look? Would love to answer any quick questions!,PENDING_APPROVAL,NOT_SENT,NOT_SENT,,,PENDING_APPROVAL,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJEWW9o28RrjsR0ZX_O_TZLng,2026-08-20T11:47:11.645100+00:00,2026-08-20T12:16:55.978732+00:00,
d49ac489f35e5e31,Sky Dental Clinic,Dental clinic,Benglore,+91 93532 48386,,"618, 80 Feet Rd, near maharaja signal, 4th Block, Koramangala, Bengaluru, Karnataka 560034, India",https://skydentalbengaluru.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,VALID_WEBSITE,40,LOW,"Valid Website (+0), Has Phone (+15), Target Category 'Dental clinic' (+10), Rating 4.9⭐ w/ 840 reviews (+15)",http://localhost:8000/preview/sky-dental-clinic-benglore,READY,"Subject: Website concept for Sky Dental Clinic

Hi Sky Dental Clinic team,

I came across Sky Dental Clinic in Benglore. Upgrading your web experience can help turn online searches into loyal customers.

Here is a quick concept preview: http://localhost:8000/preview/sky-dental-clinic-benglore

Would you be free for a 2-minute chat this week?

Best regards,
Abhishek",Hi Sky Dental Clinic team! Following up on the website preview I shared earlier (http://localhost:8000/preview/sky-dental-clinic-benglore). Did you get a chance to take a look? Would love to answer any quick questions!,PENDING_APPROVAL,NOT_SENT,NOT_SENT,,,PENDING_APPROVAL,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJwerOvKsVrjsRqlNNpJ9M1wg,2026-08-20T11:47:11.618897+00:00,2026-08-20T12:16:54.357808+00:00,
